name,company,year,kms_driven,fuel_type,Price
Mahindra Scorpio S10,Mahindra,2015,97200,Diesel,900000
Mahindra Jeep MM,Mahindra,2004,383,Diesel,424000
Ford EcoSport Titanium,Ford,2014,57000,Diesel,520000
Tata Tiago Revotron,Tata,2017,31000,Petrol,400000
Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000
Ford EcoSport,Ford,2017,39000,Petrol,489999
Audi A4 2.0,Audi,2016,44000,Diesel,1900000
Maruti Suzuki Wagon,Maruti,2004,69000,Petrol,53000
Honda City,Honda,2015,30000,Diesel,599999
Mahindra Scorpio VLX,Mahindra,2013,35000,Diesel,610000
Maruti Suzuki Dzire,Maruti,2014,55000,Diesel,424999
Chevrolet Beat LS,Chevrolet,2014,31000,Diesel,189000
Maruti Suzuki Alto,Maruti,2011,41000,Petrol,145000
Tata Indica V2,Tata,2006,20000,Petrol,90000
Maruti Suzuki Dzire,Maruti,2014,33000,Petrol,374999
Maruti Suzuki Swift,Maruti,2013,45000,Diesel,324999
Maruti Suzuki Swift,Maruti,2015,55000,Petrol,250000
Maruti Suzuki Swift,Maruti,2017,30874,Petrol,220000
Honda City SV,Honda,2017,4000,Petrol,760000
Hyundai Elantra 1.8,Hyundai,2012,65000,Petrol,500000
Maruti Suzuki Zen,Maruti,2001,40000,Petrol,40000
Maruti Suzuki Ritz,Maruti,2010,38000,Diesel,150000
Maruti Suzuki Ertiga,Maruti,2013,90000,Diesel,450000
Mahindra Bolero SLE,Mahindra,2013,80200,Diesel,330000
Mercedes Benz C,Mercedes,2009,76000,Diesel,1225000
Mahindra Scorpio,Mahindra,2011,60123,Diesel,475000
Tata Indigo eCS,Tata,2017,130000,Diesel,200000
Maruti Suzuki Omni,Maruti,2012,160000,LPG,120000
Jeep Wrangler Unlimited,Jeep,2015,3528,Diesel,950000
Nissan Sunny XL,Nissan,2011,52000,Petrol,230000
Honda Jazz VX,Honda,2016,41000,Petrol,450000
Hyundai Xcent Base,Hyundai,2016,140000,Diesel,300000
Chevrolet Spark 1.0,Chevrolet,2011,27000,Petrol,100000
Hyundai Verna 1.6,Hyundai,2012,29000,Diesel,600000
Mahindra KUV100 K8,Mahindra,2016,20000,Diesel,400000
Maruti Suzuki Alto,Maruti,2005,65000,Petrol,95000
Hyundai Accent GLE,Hyundai,2006,55000,Petrol,90000
Hyundai Eon Magna,Hyundai,2017,1600,Petrol,300000
BMW 3 Series,BMW,2011,60500,Petrol,600000
Hyundai Accent Executive,Hyundai,2009,48000,Petrol,165000
Fiat Petra ELX,Fiat,2008,65000,Petrol,75000
Hyundai i20 Magna,Hyundai,2010,36000,Petrol,195000
Mahindra XUV500 W10,Mahindra,2018,40000,Diesel,1299000
Mahindra Scorpio W,Mahindra,2012,65000,Diesel,165000
Hyundai i20 Sportz,Hyundai,2014,60000,Diesel,370000
Honda City,Honda,2015,54000,Petrol,448999
Maruti Suzuki Swift,Maruti,2019,73,Petrol,610000
Hyundai i20 Asta,Hyundai,2009,65480,Petrol,210000
Honda City,Honda,2015,55000,Petrol,499999
Mini Cooper S,Mini,2013,13000,Petrol,1891111
Volkswagen Polo,Volkswagen,2015,38000,Diesel,330000
Hyundai i10 Magna,Hyundai,2011,45000,Petrol,175000
Toyota Innova 2.5,Toyota,2011,75000,Diesel,750000
Hyundai Grand i10,Hyundai,2017,6821,Petrol,524999
Toyota Corolla Altis,Toyota,2010,70000,Petrol,289999
Volkswagen Vento Highline,Volkswagen,2019,3600,Diesel,1200000
Toyota Corolla Altis,Toyota,2015,42000,Petrol,575000
Tata Indigo CS,Tata,2011,11400,Diesel,85000
Maruti Suzuki Swift,Maruti,2014,35522,Diesel,385000
Maruti Suzuki Alto,Maruti,2014,37000,Petrol,199000
Maruti Suzuki Wagon,Maruti,2011,35000,Petrol,210000
Hyundai i10,Hyundai,2012,38000,Petrol,244999
Hyundai i20 Asta,Hyundai,2010,10750,Petrol,300000
Audi A4 2.0,Audi,2012,40000,Diesel,1350000
Toyota Corolla Altis,Toyota,2012,59000,Petrol,349999
Audi Q3 2.0,Audi,2013,37000,Diesel,1499000
Skoda Laura,Skoda,2013,50000,Diesel,374999
Volkswagen Polo,Volkswagen,2014,32000,Petrol,274999
Maruti Suzuki Wagon,Maruti,2016,35500,Diesel,225000
Ford EcoSport Ambiente,Ford,2016,24530,Diesel,830000
Hyundai Verna Fluidic,Hyundai,2015,73000,Diesel,430000
Mahindra XUV500 W8,Mahindra,2012,100000,Diesel,560000
Honda City,Honda,2015,39000,Diesel,599999
Volkswagen Vento Comfortline,Volkswagen,2011,45933,Petrol,240000
Honda Amaze,Honda,2015,22000,Petrol,344999
Maruti Suzuki Alto,Maruti,2009,62000,Petrol,90000
BMW 5 Series,BMW,2011,49000,Diesel,1299000
Mercedes Benz C,Mercedes,2002,41000,Petrol,399000
Hyundai Elite i20,Hyundai,2018,21000,Petrol,599999
Honda City,Honda,2011,55000,Petrol,284999
Honda City,Honda,2012,45000,Petrol,399999
Mahindra Thar CRDe,Mahindra,2016,29000,Diesel,730000
Maruti Suzuki Ertiga,Maruti,2018,9000,Diesel,799999
Skoda Superb 1.8,Skoda,2011,68000,Petrol,530000
Maruti Suzuki Swift,Maruti,2013,41000,Petrol,340000
Chevrolet Beat LT,Chevrolet,2012,36000,Petrol,135000
Honda Amaze,Honda,2014,35000,Petrol,274999
Toyota Corolla H2,Toyota,2003,100000,Petrol,150000
Mahindra Xylo E8,Mahindra,2010,40000,Diesel,375000
Tata Zest XM,Tata,2018,27000,Diesel,260000
Maruti Suzuki Dzire,Maruti,2013,46000,Diesel,349999
Datsun Go Plus,Datsun,2016,13900,Petrol,285000
Hyundai i20 Asta,Hyundai,2012,36200,Diesel,329500
Renault Duster 110PS,Renault,2012,35000,Diesel,501000
Honda City ZX,Honda,2017,15000,Diesel,170000
Renault Duster 85,Renault,2015,19000,Diesel,549999
Chevrolet Spark LT,Chevrolet,2009,44000,Petrol,110000
Tata Indigo CS,Tata,2016,104000,Diesel,150000
Maruti Suzuki Alto,Maruti,2017,72000,Petrol,190000
Mahindra Scorpio VLX,Mahindra,2004,160000,Diesel,230000
Maruti Suzuki Alto,Maruti,2010,22134,Petrol,99000
Tata Manza ELAN,Tata,2010,111111,Petrol,155555
Maruti Suzuki Swift,Maruti,2017,15487,Petrol,180000
Toyota Corolla Altis,Toyota,2014,29000,Petrol,790000
Hyundai Elite i20,Hyundai,2017,31000,Petrol,599999
Renault Duster 85,Renault,2014,59000,Diesel,489999
Tata Bolt XM,Tata,2015,15000,Petrol,600000
Tata Sumo Gold,Tata,2012,75000,Diesel,210000
Hyundai Accent,Hyundai,2010,45000,Petrol,99999
Maruti Suzuki Alto,Maruti,2017,21000,Petrol,270000
Mahindra Scorpio S10,Mahindra,2016,43000,Diesel,350000
Mahindra Scorpio SLX,Mahindra,2008,70000,Diesel,300000
Skoda Octavia Classic,Skoda,2006,65000,Diesel,114990
Hyundai i20 Magna,Hyundai,2009,32000,Petrol,195000
Ford EcoSport Ambiente,Ford,2016,24530,Diesel,830000
Maruti Suzuki Swift,Maruti,2015,22000,Petrol,475000
Maruti Suzuki Dzire,Maruti,2012,40000,Petrol,299999
Hyundai Elite i20,Hyundai,2018,7800,Petrol,600000
Maruti Suzuki Dzire,Maruti,2017,80000,Diesel,488000
Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500
Tata Indica eV2,Tata,2015,60105,Diesel,140000
Maruti Suzuki Wagon,Maruti,2014,37458,Petrol,130000
Mercedes Benz GLA,Mercedes,2015,20000,Diesel,2000000
Mahindra TUV300 T4,Mahindra,2016,35000,Diesel,540000
Chevrolet Beat PS,Chevrolet,2012,65422,Diesel,215000
Hyundai Elantra SX,Hyundai,2013,20000,Petrol,600000
Hyundai i20,Hyundai,2014,23000,Petrol,449999
Maruti Suzuki Wagon,Maruti,2008,68000,Petrol,140000
Mahindra Scorpio SLX,Mahindra,2008,80000,Diesel,285000
Honda City,Honda,2014,45000,Diesel,544999
