,name,company,year,kms_driven,fuel_type,Price
0,Hyundai Santro Xing,Hyundai,2007,45000,Petrol,80000
1,Mahindra Jeep CL550,Mahindra,2006,40,Diesel,425000
2,Hyundai Grand i10,Hyundai,2014,28000,Petrol,325000
3,Ford EcoSport Titanium,Ford,2014,36000,Diesel,575000
4,Ford Figo,Ford,2012,41000,Diesel,175000
5,Hyundai Eon,Hyundai,2013,25000,Petrol,190000
6,Ford EcoSport Ambiente,Ford,2016,24530,Diesel,830000
7,Maruti Suzuki Alto,Maruti,2015,60000,Petrol,250000
8,Skoda Fabia Classic,Skoda,2010,60000,Petrol,182000
9,Maruti Suzuki Stingray,Maruti,2015,30000,Petrol,315000
10,Hyundai Elite i20,Hyundai,2014,32000,Petrol,415000
11,Mahindra Scorpio SLE,Mahindra,2015,48660,Diesel,320000
12,Hyundai Santro Xing,Hyundai,2007,45000,Petrol,80000
13,Mahindra Jeep CL550,Mahindra,2006,40,Diesel,425000
14,Audi A8,Audi,2017,4000,Petrol,1000000
15,Audi Q7,Audi,2014,16934,Diesel,500000
16,Mahindra Scorpio S10,Mahindra,2016,43000,Diesel,350000
17,Maruti Suzuki Alto,Maruti,2014,35550,Petrol,160000
18,Mahindra Scorpio S10,Mahindra,2016,43000,Diesel,350000
19,Mahindra Scorpio S10,Mahindra,2016,39522,Diesel,310000
20,Maruti Suzuki Alto,Maruti,2015,39000,Petrol,75000
21,Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000
22,Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000
23,Hyundai i20 Sportz,Hyundai,2012,55000,Petrol,100000
24,Maruti Suzuki Alto,Maruti,2017,72000,Petrol,190000
25,Maruti Suzuki Vitara,Maruti,2016,15975,Diesel,290000
26,Maruti Suzuki Alto,Maruti,2008,70000,Petrol,95000
27,Mahindra Bolero DI,Mahindra,2017,23452,Diesel,180000
28,Maruti Suzuki Swift,Maruti,2014,35522,Diesel,385000
29,Mahindra Scorpio S10,Mahindra,2015,48508,Diesel,250000
30,Maruti Suzuki Swift,Maruti,2017,15487,Petrol,180000
31,Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
32,Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
33,Toyota Innova 2.0,Toyota,2012,82000,Diesel,650000
34,Renault Lodgy 85,Renault,2018,20000,Diesel,689999
35,Skoda Yeti Ambition,Skoda,2012,68000,Diesel,448000
36,Maruti Suzuki Baleno,Maruti,2017,32000,Diesel,549000
37,Renault Duster 110,Renault,2012,38000,Diesel,501000
38,Renault Duster 85,Renault,2013,27000,Diesel,489999
39,Honda City 1.5,Honda,2011,33000,Petrol,280000
40,Maruti Suzuki Alto,Maruti,2015,60000,Petrol,250000
41,Maruti Suzuki Dzire,Maruti,2013,46000,Diesel,349999
42,Honda Amaze,Honda,2013,46000,Diesel,284999
43,Honda Amaze 1.5,Honda,2015,36000,Diesel,345000
44,Honda City,Honda,2015,55000,Petrol,499999
45,Datsun Redi GO,Datsun,2017,16000,Petrol,235000
46,Maruti Suzuki SX4,Maruti,2010,36000,Petrol,249999
47,Mitsubishi Pajero Sport,Mitsubishi,2015,47000,Diesel,1475000
48,Mahindra Bolero DI,Mahindra,2017,23452,Diesel,180000
49,Maruti Suzuki Swift,Maruti,2014,35522,Diesel,385000
50,Mahindra Scorpio S10,Mahindra,2015,48508,Diesel,250000
51,Maruti Suzuki Swift,Maruti,2017,15487,Petrol,180000
52,Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
53,Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
54,Mahindra Scorpio S10,Mahindra,2015,35000,Diesel,395000
55,Maruti Suzuki Swift,Maruti,2017,30874,Petrol,220000
56,Honda City ZX,Honda,2017,15000,Diesel,170000
57,Maruti Suzuki Wagon,Maruti,2013,29685,Petrol,85000
58,Ford Figo,Ford,2012,41000,Diesel,175000
59,Hyundai Eon,Hyundai,2013,25000,Petrol,190000
60,Tata Indigo eCS,Tata,2017,130000,Diesel,200000
61,Ford EcoSport Ambiente,Ford,2016,24530,Diesel,830000
62,Tata Indigo eCS,Tata,2017,130000,Diesel,200000
63,Mahindra Scorpio SLE,Mahindra,2012,19000,Diesel,570000
64,Volkswagen Polo Highline,Volkswagen,2014,60000,Petrol,315000
65,Skoda Fabia Classic,Skoda,2010,60000,Petrol,182000
66,Maruti Suzuki Stingray,Maruti,2015,30000,Petrol,315000
67,Chevrolet Spark LS,Chevrolet,2010,41000,Petrol,110000
68,Renault Duster 110PS,Renault,2012,35000,Diesel,501000
69,Honda City,Honda,2015,54000,Petrol,448999
70,Mini Cooper S,Mini,2013,13000,Petrol,1891111
71,Datsun Redi GO,Datsun,2017,16000,Petrol,235000
72,Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500
73,Honda Amaze,Honda,2015,22000,Petrol,344999
74,Honda Amaze,Honda,2015,22000,Petrol,344999
75,Renault Duster,Renault,2014,50000,Diesel,449999
76,Mini Cooper S,Mini,2013,13500,Petrol,1891111
77,Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,865000
78,Mahindra Scorpio VLX,Mahindra,2014,50000,Diesel,699000
79,Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000
80,Ford EcoSport,Ford,2017,39000,Petrol,489999
81,Honda Brio,Honda,2012,30000,Petrol,224999
82,Volkswagen Vento Highline,Volkswagen,2019,3600,Diesel,1200000
83,Hyundai i20 Magna,Hyundai,2009,32000,Petrol,195000
84,Toyota Corolla Altis,Toyota,2010,38000,Diesel,351000
85,Hyundai Verna Transform,Hyundai,2008,45000,Petrol,160000
86,Toyota Corolla Altis,Toyota,2009,35000,Petrol,240000
87,Honda City 1.5,Honda,2005,50000,Petrol,90000
88,Hyundai Elite i20,Hyundai,2014,32000,Petrol,415000
89,Skoda Fabia 1.2L,Skoda,2011,45863,Diesel,155000
90,BMW 3 Series,BMW,2011,60500,Petrol,600000
91,Maruti Suzuki A,Maruti,2011,12500,Petrol,189500
92,Toyota Etios GD,Toyota,2013,60000,Diesel,350000
93,Ford Figo Diesel,Ford,2012,35000,Diesel,210000
94,Maruti Suzuki Swift,Maruti,2014,35000,Petrol,390000
95,Chevrolet Beat LT,Chevrolet,2012,45000,Diesel,135000
96,BMW 7 Series,BMW,2009,35000,Petrol,1600000
97,Mahindra XUV500 W8,Mahindra,2013,38000,Diesel,701000
98,Hyundai i10 Magna,Hyundai,2014,18000,Petrol,265000
99,Hyundai Verna Fluidic,Hyundai,2015,35000,Diesel,525000
100,Maruti Suzuki Swift,Maruti,2013,13349,Petrol,372000
101,Maruti Suzuki Ertiga,Maruti,2016,29000,Petrol,635000
102,Ford EcoSport Titanium,Ford,2014,44000,Diesel,550000
103,Maruti Suzuki Ertiga,Maruti,2016,29000,Petrol,575000
104,Maruti Suzuki Ertiga,Maruti,2013,42000,Diesel,485000
105,Maruti Suzuki Alto,Maruti,2012,14000,Petrol,155000
106,Hyundai Grand i10,Hyundai,2014,49000,Diesel,345000
107,Honda Amaze 1.2,Honda,2014,42000,Petrol,325000
108,Hyundai i20 Asta,Hyundai,2012,36200,Diesel,329500
109,Ford Figo Diesel,Ford,2014,50000,Diesel,195000
110,Maruti Suzuki Eeco,Maruti,2015,55000,Petrol,251111
111,Maruti Suzuki Ertiga,Maruti,2014,45000,Petrol,569999
112,Maruti Suzuki Esteem,Maruti,2007,51000,Petrol,69999
113,Maruti Suzuki Ritz,Maruti,2014,19000,Petrol,299999
114,Maruti Suzuki Dzire,Maruti,2009,46000,Petrol,220000
115,Maruti Suzuki Ritz,Maruti,2013,33000,Diesel,399999
116,Maruti Suzuki Swift,Maruti,2013,13349,Petrol,372000
117,Maruti Suzuki Dzire,Maruti,2015,104000,Diesel,450000
118,Toyota Etios Liva,Toyota,2014,55000,Petrol,270000
119,Hyundai i20 Sportz,Hyundai,2011,33333,Diesel,350000
120,Chevrolet Spark,Chevrolet,2012,33600,Petrol,158400
121,Maruti Suzuki Alto,Maruti,2017,5600,Petrol,350000
122,Nissan Micra XV,Nissan,2011,41000,Petrol,179000
123,Maruti Suzuki Swift,Maruti,2007,70000,Petrol,125000
124,Maruti Suzuki Alto,Maruti,2018,7500,Petrol,200000
125,Honda Amaze 1.5,Honda,2013,45000,Diesel,299000
126,Maruti Suzuki Alto,Maruti,2015,38000,Petrol,220000
127,Chevrolet Beat,Chevrolet,2015,30000,Petrol,150000
128,Toyota Corolla,Toyota,2009,26000,,275000
129,Honda City 1.5,Honda,2010,35000,Petrol,285000
130,Ford EcoSport Trend,Ford,2016,24330,Diesel,830000
131,Hyundai i20 Asta,Hyundai,2009,65480,Petrol,210000
132,Maruti Suzuki Swift,Maruti,2013,41000,Petrol,340000
133,Tata Indica V2,Tata,2006,20000,Petrol,90000
134,Hindustan Motors Ambassador,Hindustan,2000,200000,Diesel,70000
135,Toyota Corolla Altis,Toyota,2010,70000,Petrol,289999
136,Toyota Corolla Altis,Toyota,2012,59000,Petrol,349999
137,Toyota Innova 2.5,Toyota,2012,99000,Diesel,849999
138,Volkswagen Jetta Highline,Volkswagen,2014,46000,Diesel,749999
139,Volkswagen Polo Comfortline,Volkswagen,2015,2800,Petrol,399999
140,Volkswagen Polo,Volkswagen,2014,32000,Petrol,274999
141,Mahindra Scorpio,Mahindra,2015,22000,Diesel,984999
142,Renault Duster,Renault,2014,50000,Diesel,449999
143,Honda Amaze,Honda,2015,22000,Petrol,344999
144,Nissan Sunny,Nissan,2012,45000,Petrol,224999
145,Hyundai Elite i20,Hyundai,2018,21000,Petrol,599999
146,Renault Kwid,Renault,2016,11000,Petrol,244999
147,Renault Duster,Renault,2013,41000,Diesel,399999
148,Ford EcoSport,Ford,2017,39000,Petrol,489999
149,Renault Duster,Renault,2014,50000,Diesel,474999
150,Mahindra Scorpio VLX,Mahindra,2011,66000,Diesel,499999
151,Maruti Suzuki Alto,Maruti,2018,3000,Petrol,310000
152,Chevrolet Spark LT,Chevrolet,2010,45000,Petrol,85000
153,Datsun Redi GO,Datsun,2016,7000,Petrol,245000
154,Maruti Suzuki Swift,Maruti,2010,38500,Diesel,189500
155,Fiat Punto Emotion,Fiat,2012,37200,Diesel,169500
156,Maruti Suzuki Swift,Maruti,2010,43200,Diesel,159500
157,Toyota Etios GD,Toyota,2013,24800,Petrol,275000
158,Hyundai i20 Sportz,Hyundai,2014,60000,Diesel,370000
159,Hyundai i10 Sportz,Hyundai,2010,45872,Petrol,168000
160,Chevrolet Beat LT,Chevrolet,2011,40000,Diesel,150000
161,Chevrolet Beat LS,Chevrolet,2011,45000,Diesel,145000
162,Chevrolet Beat LT,Chevrolet,2012,38000,Diesel,98500
163,Mahindra Scorpio VLX,Mahindra,2014,50000,Diesel,699000
164,Tata Indigo CS,Tata,2011,11400,Diesel,85000
165,Toyota Corolla Altis,Toyota,2015,42000,Petrol,575000
166,Honda City 1.5,Honda,2014,39000,Petrol,549000
167,Maruti Suzuki Swift,Maruti,2011,47000,Diesel,209000
168,Hyundai Eon Era,Hyundai,2013,27000,Petrol,185000
169,Mahindra Scorpio S10,Mahindra,2015,97200,Diesel,900000
170,Mahindra XUV500,Mahindra,2014,52000,Diesel,699999
171,Honda Brio,Honda,2012,30000,Petrol,224999
172,Ford Fiesta,Ford,2011,55000,Diesel,274999
173,Honda Amaze,Honda,2013,46000,Diesel,284999
174,Honda City,Honda,2015,30000,Diesel,599999
175,Maruti Suzuki Wagon,Maruti,2012,44000,Petrol,199999
176,Honda City,Honda,2014,45000,Diesel,544999
177,Hyundai i20,Hyundai,2009,31000,Petrol,199000
178,Tata Indigo eCS,Tata,2016,175430,Diesel,320000
179,Hyundai Fluidic Verna,Hyundai,2015,38000,Diesel,540000
180,Mahindra Quanto C8,Mahindra,2013,37000,Diesel,340000
181,Fiat Petra ELX,Fiat,2008,65000,Petrol,75000
182,Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500
183,Mini Cooper S,Mini,2013,13000,Petrol,1891111
184,Hyundai Santro Xing,Hyundai,2005,7500,Petrol,49000
185,Maruti Suzuki Ciaz,Maruti,2016,3350,Petrol,700000
186,Maruti Suzuki Zen,Maruti,2000,60000,Petrol,55000
187,Honda City,Honda,2015,54000,Petrol,448999
188,Hyundai Creta 1.6,Hyundai,2017,32000,Petrol,895000
189,Mahindra Scorpio SLX,Mahindra,2007,75000,Diesel,355000
190,Mahindra Scorpio SLE,Mahindra,2012,62000,Diesel,565000
191,Toyota Innova 2.5,Toyota,2006,73000,Diesel,365000
192,Maruti Suzuki Alto,Maruti,2011,41000,Petrol,145000
193,Maruti Suzuki Wagon,Maruti,2011,35000,Petrol,210000
194,Tata Nano Cx,Tata,2013,2200,Petrol,40000
195,Maruti Suzuki Alto,Maruti,2013,39000,Petrol,125000
196,Maruti Suzuki Wagon,Maruti,2009,45000,Petrol,135000
197,Maruti Suzuki Swift,Maruti,2006,45000,Petrol,135000
